answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Mutations in the genes regulating limb development led to gradual changes in structure, which provided a selective advantage to the organisms.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the following diagram of forelimbs of different animals.<div class=""prose1""><div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Anatomical sketches of the forelimbs of 4 different animals. Diagram 1 has 3 long bones attached to a wrist bone, attached to a thumb and 4 fingers; Diagram 2 has 3 short bones attached to a wrist bone attached to 5 fingers; Diagram 3 has three long bones attached to a small wrist, attached to 5 long slender bones; Diagram 5 has 3 short, stubby bones attached to long talons."" height=""467"" src=""./SciHard_files/ItemResource(11)"" title=""Anatomical sketches of the forelimbs of 4 different animals. Diagram 1 has 3 long bones attached to a wrist bone, attached to a thumb and 4 fingers; Diagram 2 has 3 short bones attached to a wrist bone attached to 5 fingers; Diagram 3 has three long bones attached to a small wrist, attached to 5 long slender bones; Diagram 5 has 3 short, stubby bones attached to long talons."" width=""441""/></div></div></div></div><br>11. <div class=""paragraph"">Which statement best helps to explain how these different structures could arise from a common precursor?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Mutations in the genes regulating limb development led to gradual changes in structure, which provided a selective advantage to the organisms.</span></span></div>
<div>B. <span class=""itemtext""><span>A single mutation in the genes regulating limb development resulted in a change in structure, which led to the modified limbs in offspring.</span></span></div>
<div>C. <span class=""itemtext""><span>Changes in the environment caused mutations in the genes regulating limb development, which provided a means to thrive under the new conditions.</span></span></div>
<div>D. <span class=""itemtext""><span>Limbs changed in response to the changing needs of the organisms, which led to the modified limbs in offspring.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S10 #11 K130402</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>1 and 2</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>12. <div class=""paragraph""><img align=""middle"" alt=""Flower with various parts marked 1, 2, 3, 4. 1 is the filament, 2 is the ovary, 3 is the petal, 4 is the sepal."" height=""216"" src=""./SciHard_files/ItemResource(12)"" title=""Flower with various parts marked 1, 2, 3, 4. 1 is the filament, 2 is the ovary, 3 is the petal, 4 is the sepal."" width=""248""/></div><div class=""paragraph"">Which two numbers in the picture above of a flower show the male and female parts?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>1 and 2</span></span></div>
<div>B. <span class=""itemtext""><span>2 and 3</span></span></div>
<div>C. <span class=""itemtext""><span>2 and 4</span></span></div>
<div>D. <span class=""itemtext""><span>3 and 4</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-4S12 #2 K034701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Water droplets that formed from cooled water vapor in your breath</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>13. <div class=""paragraph"">If you breathe on a mirror, part of the mirror clouds up. What are you actually seeing when you see the mirror cloud up?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Water droplets that formed from cooled water vapor in your breath</span></span></div>
<div>B. <span class=""itemtext""><span>Carbon dioxide that you are breathing out from your lungs</span></span></div>
<div>C. <span class=""itemtext""><span>Oxygen that you are breathing out from your lungs</span></span></div>
<div>D. <span class=""itemtext""><span>Cooled nitrogen in the air around you</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-4S13 #4 K035701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span> Sedimentary</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>14. <div class=""paragraph"">The picture below shows how a type of rock forms at the bottom of the ocean. What type of rock is this?</div><div class=""paragraph""><img align=""middle"" alt=""Image of land and ocean. One area of ocean marked with the following: dead ocean animals that fall to the bottom of the ocean. Area of land marked with the following: Rock layers form at ocean bottom."" height=""232"" src=""./SciHard_files/ItemResource(13)"" title=""Image of land and ocean. One area of ocean marked with the following: dead ocean animals that fall to the bottom of the ocean. Area of land marked with the following: Rock layers form at ocean bottom."" width=""392""/></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Lava</span></span></div>
<div>B. <span class=""itemtext""><span>Igneous</span></span></div>
<div>C. <span class=""itemtext""><span> Sedimentary</span></span></div>
<div>D. <span class=""itemtext""><span> Metamorphic</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-4S13 #7 K036001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Dew forming on plants during a cold night</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>15. <div class=""paragraph"">Which is an example of water condensing?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>A puddle disappearing on a hot summer afternoon</span></span></div>
<div>B. <span class=""itemtext""><span>Sweat forming on your forehead after you do a lot of exercise</span></span></div>
<div>C. <span class=""itemtext""><span>Ice cubes melting when you put them out in the sun</span></span></div>
<div>D. <span class=""itemtext""><span>Dew forming on plants during a cold night</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-4S13 #9 K036201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Earth rotates on its axis.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>16. <div class=""paragraph"">Which of the following best explains why the Sun appears to move across the sky every day?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The Sun rotates on its axis.</span></span></div>
<div>B. <span class=""itemtext""><span>Earth rotates on its axis.</span></span></div>
<div>C. <span class=""itemtext""><span>The Sun orbits around Earth.</span></span></div>
<div>D. <span class=""itemtext""><span>Earth orbits around the Sun.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-4S13 #13 K061201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Pulse rate bar graph: lowest, highest, and between: before running, during running, after running"" height=""166"" src=""./SciHard_files/ItemResource(18)"" title=""Pulse rate bar graph: lowest, highest, and between: before running, during running, after running"" width=""268""/></span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>17. <div class=""paragraph"">Julio wanted to know how his pulse rate changed when he ran very fast. He measured his pulse rate before he started running, while he was running, and two minutes after he stopped running. Which graph best shows how Julio's pulse rate changed?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Pulse rate bar graph: bars from low to high: before running, during running, after running"" height=""168"" src=""./SciHard_files/ItemResource(14)"" title=""Pulse rate bar graph: bars from low to high: before running, during running, after running"" width=""268""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Pulse rate bar graph with bars from high to low: before running, during running, after running"" height=""166"" src=""./SciHard_files/ItemResource(15)"" title=""Pulse rate bar graph with bars from high to low: before running, during running, after running"" width=""268""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Pulse rate bar graph: bars for before running and after running with equal height higher than during running"" height=""166"" src=""./SciHard_files/ItemResource(16)"" title=""Pulse rate bar graph: bars for before running and after running with equal height higher than during running"" width=""268""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Pulse rate bar graph: lowest, highest, and between: before running, during running, after running"" height=""166"" src=""./SciHard_files/ItemResource(17)"" title=""Pulse rate bar graph: lowest, highest, and between: before running, during running, after running"" width=""268""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-4S14 #1 K037001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>1</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>18. <div class=""paragraph""><div class=""paragraph""></div></div><div class=""paragraph"">Julie had four bottles. She wanted to know which bottle could hold the most water.</div><div class=""paragraph"">Julie found the mass of each bottle when it was empty. Then she found the mass of each bottle when it was full of water. She recorded the following results.</div><div class=""paragraph""></div><div class=""paragraph""><div class=""stdaln_stmt""><div class=""stdaln_img""><img alt=""Table with bottle number, mass of empty bottle (grams), and mass of full bottle (grams).    Bottle 1: 100, 800  Bottle 2: 100, 600  Bottle 3: 500, 900  Bottle 4: 700, 900"" class=""inln_img"" height=""235"" src=""./SciHard_files/ItemResource(19)"" title=""Table with bottle number, mass of empty bottle (grams), and mass of full bottle (grams).    Bottle 1: 100, 800  Bottle 2: 100, 600  Bottle 3: 500, 900  Bottle 4: 700, 900"" width=""581""/></div></div></div><div class=""paragraph""></div><div class=""paragraph"">Which bottle held the <span class=""stressed_text_3"">most</span> water?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>1</span></span></div>
<div>B. <span class=""itemtext""><span>2</span></span></div>
<div>C. <span class=""itemtext""><span>3</span></span></div>
<div>D. <span class=""itemtext""><span>4</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-4S14 #9 K061401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Oxygen and nitrogen</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>19. <div class=""paragraph"">What two gases make up most of the Earth's atmosphere?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Hydrogen and oxygen</span></span></div>
<div>B. <span class=""itemtext""><span>Hydrogen and nitrogen</span></span></div>
<div>C. <span class=""itemtext""><span>Oxygen and carbon dioxide</span></span></div>
<div>D. <span class=""itemtext""><span>Oxygen and nitrogen</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8S11 #9 K047601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate correct blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(24)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate correct blood flow to and from the heart."" width=""286""/></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>20. <div class=""paragraph"">Each diagram below shows the same front view of a human heart. Which diagram has arrows that correctly show the path of blood flow through the heart and the blood vessels leading to and from the heart?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate correct blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(20)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate correct blood flow to and from the heart."" width=""286""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(21)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" width=""286""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(22)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" width=""286""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(23)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" width=""286""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8S11 #10 K047701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Amplitude</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>21. <div class=""paragraph"">A person produces two sound waves with a flute, one immediately after the other. Both sound waves have the same pitch, but the second one is louder. Which of the following properties is greater for the second sound wave?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Frequency</span></span></div>
<div>B. <span class=""itemtext""><span>Amplitude</span></span></div>
<div>C. <span class=""itemtext""><span>Wavelength</span></span></div>
<div>D. <span class=""itemtext""><span>Speed in air</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8S11 #11 K047801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Inserting a gene into plants that makes them resistant to insects.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>22. <div class=""paragraph"">Which of the following is an example of genetic engineering?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Growing a whole plant from a single cell.</span></span></div>
<div>B. <span class=""itemtext""><span>Finding the sequences of bases in plant DNA.</span></span></div>
<div>C. <span class=""itemtext""><span>Inserting a gene into plants that makes them resistant to insects.</span></span></div>
<div>D. <span class=""itemtext""><span>Attaching the root of one type of plant to the stem of another type of plant.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8S11 #15 K091201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>An icy winter causes the pavement in a road to crack.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>23. <div class=""paragraph"">All of the following are examples of erosion <span class=""stressed_text_1"">EXCEPT</span>:</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The wind in the desert blows sand against a rock.</span></span></div>
<div>B. <span class=""itemtext""><span>A glacier picks up boulders as it moves.</span></span></div>
<div>C. <span class=""itemtext""><span>A flood washes over a riverbank, and the water carries small soil particles downstream.</span></span></div>
<div>D. <span class=""itemtext""><span>An icy winter causes the pavement in a road to crack.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8S14 #9 K037801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Because it reflects green light</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>24. <div class=""paragraph"">Why does the leaf of a plant look green?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Because it absorbs green light</span></span></div>
<div>B. <span class=""itemtext""><span>Because it reflects green light</span></span></div>
<div>C. <span class=""itemtext""><span>Because it absorbs only yellow and blue light</span></span></div>
<div>D. <span class=""itemtext""><span>Because it reflects a mixture of yellow and blue light</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8S14 #10 K037901</span></div></div>"
