answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>77</span></span></div>
</div>",B,5.0,"<div class=""questionwrapper""><div class=""question""><br>39. <div class=""paragraph""><div align=""center"" class=""paragraph""><div class=""stdaln_img""><img alt=""Image of a right triangle. Base is 200 feet, angle of elevation is 21 degrees."" class=""inln_img"" height=""230"" src=""./MathHard_files/ItemResource(100)"" title=""Image of a right triangle. Base is 200 feet, angle of elevation is 21 degrees."" width=""218""/></div></div></div><div class=""paragraph"">              On level ground from a distance of 200 feet, the angle of elevation to the top of a building is 21°, as shown in the figure above. What is the height              <span class=""inline_variable"">h</span>              of the building, to the nearest foot?            </div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>72</span></span></div>
<div>B. <span class=""itemtext""><span>77</span></span></div>
<div>C. <span class=""itemtext""><span>187</span></span></div>
<div>D. <span class=""itemtext""><span>201</span></span></div>
<div>E. <span class=""itemtext""><span>521</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12M7 #11 M191201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>77</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>40. <div class=""paragraph""><div class=""paragraph""><div class=""stdaln_img""><img alt=""Table with the following data:  In 2, Out 5;  In 3, Out 7;  In 4, Out 9;  In 5, Out 11;  In 15; Out 31;  In 38; Out blank."" class=""inln_img"" height=""232"" src=""./MathHard_files/ItemResource(101)"" title=""Table with the following data:  In 2, Out 5;  In 3, Out 7;  In 4, Out 9;  In 5, Out 11;  In 15; Out 31;  In 38; Out blank."" width=""120""/></div></div><div class=""paragraph""></div></div><div class=""paragraph"">The table shows how the ""In"" numbers are related to the ""Out"" numbers. When 38 goes in, what number comes out?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>41</span></span></div>
<div>B. <span class=""itemtext""><span>51</span></span></div>
<div>C. <span class=""itemtext""><span>54</span></span></div>
<div>D. <span class=""itemtext""><span>77</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2007-4M7 #12 M139901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>10</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>41. <div class=""paragraph"">There will be 58 people at a breakfast and each person will eat 2 eggs. There are 12 eggs in each carton. How many cartons of eggs will be needed for the breakfast?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>9</span></span></div>
<div>B. <span class=""itemtext""><span>10</span></span></div>
<div>C. <span class=""itemtext""><span>72</span></span></div>
<div>D. <span class=""itemtext""><span>116</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2007-4M7 #14 M140101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>1 dollar and 10 cents</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>42. <div class=""paragraph""><div class=""paragraph""><div class=""stdaln_img""><img alt=""Calculator showing 1.1 in the display."" class=""inln_img"" height=""200"" src=""./MathHard_files/ItemResource(102)"" title=""Calculator showing 1.1 in the display."" width=""125""/></div></div><div class=""paragraph""></div></div><div class=""paragraph"">Ben bought 4 items at a bake sale and added their cost on his calculator. The total cost read 1.1 on the calculator. What amount does Ben need to pay?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>11 cents</span></span></div>
<div>B. <span class=""itemtext""><span>1 dollar and 1 cent</span></span></div>
<div>C. <span class=""itemtext""><span>1 dollar and 10 cents</span></span></div>
<div>D. <span class=""itemtext""><span>11 dollars</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2007-4M7 #15 M140201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Meters</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>43. <div class=""paragraph"">Which of these units would be the best to use to measure the length of a school building?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Millimeters</span></span></div>
<div>B. <span class=""itemtext""><span>Centimeters</span></span></div>
<div>C. <span class=""itemtext""><span>Meters</span></span></div>
<div>D. <span class=""itemtext""><span>Kilometers</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2007-4M9 #12 M067601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img align=""top"" alt=""One row of 6 squares"" height=""38"" src=""./MathHard_files/ItemResource(108)"" title=""One row of 6 squares"" width=""133""/></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>44. <div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Rectangle of three rows of 4 squares in each row"" height=""78"" src=""./MathHard_files/ItemResource(103)"" title=""Rectangle of three rows of 4 squares in each row"" width=""93""/></div><div class=""paragraph""></div></div><div class=""paragraph"">Which rectangle below has the same perimeter (distance around) as the rectangle above?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""One row of 6 squares"" height=""38"" src=""./MathHard_files/ItemResource(104)"" title=""One row of 6 squares"" width=""133""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""One row of 12 squares"" height=""38"" src=""./MathHard_files/ItemResource(105)"" title=""One row of 12 squares"" width=""253""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Two rows of 6 squares"" height=""58"" src=""./MathHard_files/ItemResource(106)"" title=""Two rows of 6 squares"" width=""133""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Two rows of 12 squares"" height=""58"" src=""./MathHard_files/ItemResource(107)"" title=""Two rows of 12 squares"" width=""253""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2007-4M11 #10 M096801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>1976</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>45. <div class=""paragraph"">The Ben Franklin Bridge was 75 years old in 2001. In what year was the bridge 50 years old?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span> 1951 </span></span></div>
<div>B. <span class=""itemtext""><span>1976</span></span></div>
<div>C. <span class=""itemtext""><span>1984</span></span></div>
<div>D. <span class=""itemtext""><span>1986</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2007-4M11 #11 M096901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Five</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>46. <div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Picture of path from Rachel's house to school. Path goes straight up from Rachel's house, then turns right, then turns up, then turns left, then turns up, then turns right to end at school. "" height=""254"" src=""./MathHard_files/ItemResource(109)"" title=""Picture of path from Rachel's house to school. Path goes straight up from Rachel's house, then turns right, then turns up, then turns left, then turns up, then turns right to end at school. "" width=""201""/></div><div class=""paragraph""></div></div><div class=""paragraph"">The picture shows Rachel's path to school. How many right angle turns does Rachel make to get to school?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Two</span></span></div>
<div>B. <span class=""itemtext""><span>Three</span></span></div>
<div>C. <span class=""itemtext""><span>Five</span></span></div>
<div>D. <span class=""itemtext""><span>Seven</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2007-4M11 #12 M097001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>10</span></span></div>
</div>",C,5.0,"<div class=""questionwrapper""><div class=""question""><br>47. <div class=""paragraph"">How many 200-milliliter servings can be poured from a pitcher that contains 2 liters of juice?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>20</span></span></div>
<div>B. <span class=""itemtext""><span>15</span></span></div>
<div>C. <span class=""itemtext""><span>10</span></span></div>
<div>D. <span class=""itemtext""><span>5</span></span></div>
<div>E. <span class=""itemtext""><span>1</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2007-8M7 #10 M144501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>201</span></span></div>
</div>",D,5.0,"<div class=""questionwrapper""><div class=""question""><br>48. <div class=""paragraph"">The temperature in degrees Celsius can be found by subtracting 32 from the temperature in degrees Fahrenheit and multiplying the result by <img alt=""5/9"" height=""35"" src=""./MathHard_files/ItemResource(110)"" style=""padding: 0px !important; vertical-align:middle;"" title=""5/9"" width=""12"">   . If the temperature of a furnace is 393 degrees Fahrenheit, what is it in degrees Celsius, to the nearest degree?</img></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>649</span></span></div>
<div>B. <span class=""itemtext""><span>375</span></span></div>
<div>C. <span class=""itemtext""><span>219</span></span></div>
<div>D. <span class=""itemtext""><span>201</span></span></div>
<div>E. <span class=""itemtext""><span>187</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2007-8M9 #14 M013731</span></div></div>"
"<div class=""answer"">The correct answer is:<div>E. <span class=""itemtext""><span>984.13</span></span></div>
</div>",E,5.0,"<div class=""questionwrapper""><div class=""question""><br>49. <div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Calculator display showing 9.8413 02"" height=""26"" src=""./MathHard_files/ItemResource(111)"" title=""Calculator display showing 9.8413 02"" width=""150""/></div><div class=""paragraph""></div></div><div class=""paragraph"">The figure above represents a calculator display showing a number in scientific notation. That number is</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>0.098413</span></span></div>
<div>B. <span class=""itemtext""><span>0.98413</span></span></div>
<div>C. <span class=""itemtext""><span> 19.6826 </span></span></div>
<div>D. <span class=""itemtext""><span>98.413</span></span></div>
<div>E. <span class=""itemtext""><span>984.13</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2007-8M9 #15 M013531</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span> 60°</span></span></div>
</div>",B,5.0,"<div class=""questionwrapper""><div class=""question""><br>50. <div class=""paragraph""><div class=""paragraph""><div class=""stdaln_img""><img alt=""Circle with a center O. An arc segment labeled AB is darkened, resulting in triangle AOB."" class=""inln_img"" height=""107"" src=""./MathHard_files/ItemResource(112)"" title=""Circle with a center O. An arc segment labeled AB is darkened, resulting in triangle AOB."" width=""113""/></div></div><div class=""paragraph""></div></div><div class=""paragraph"">The circle above has center <span class=""inline_variable"">O</span> . If the length of the darkened arc is <img alt=""1/6"" height=""33"" src=""./MathHard_files/ItemResource(113)"" style=""padding: 0px !important; vertical-align:middle;"" title=""1/6"" width=""14"">   of the circumference, what is the degree measure of  

∠<span class=""stressed_text_2"">AOB</span> ?</img></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span> 75°</span></span></div>
<div>B. <span class=""itemtext""><span> 60°</span></span></div>
<div>C. <span class=""itemtext""><span> 45°</span></span></div>
<div>D. <span class=""itemtext""><span> 36°</span></span></div>
<div>E. <span class=""itemtext""><span> 30°</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2007-8M9 #16 M051801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img align=""top"" alt=""The graph of a line through the points (minus 1, 3) and (2, minus 4)."" height=""154"" src=""./MathHard_files/ItemResource(119)"" title=""The graph of a line through the points (minus 1, 3) and (2, minus 4)."" width=""150""/></span></span></div>
</div>",A,5.0,"<div class=""questionwrapper""><div class=""question""><br>51. <div class=""paragraph"">Which of the following is the graph of the line with equation <span class=""inline_variable"">y</span> = -2<span class=""inline_variable"">x</span> + 1?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""The graph of a line through the points (minus 1, 3) and (2, minus 4)."" height=""154"" src=""./MathHard_files/ItemResource(114)"" title=""The graph of a line through the points (minus 1, 3) and (2, minus 4)."" width=""150""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""The graph of a line through the points (minus 2, minus 4) and (1, 3)."" height=""154"" src=""./MathHard_files/ItemResource(115)"" title=""The graph of a line through the points (minus 2, minus 4) and (1, 3)."" width=""150""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""The graph of a line through the points (0, 2) and (2, minus 2)."" height=""154"" src=""./MathHard_files/ItemResource(116)"" title=""The graph of a line through the points (0, 2) and (2, minus 2)."" width=""150""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""The graph of a line through the points (minus 2, 0) and (2, 2)."" height=""154"" src=""./MathHard_files/ItemResource(117)"" title=""The graph of a line through the points (minus 2, 0) and (2, 2)."" width=""150""/></span></span></div>
<div>E. <span class=""itemtext""><span><img align=""top"" alt=""The graph of a line through the points (0, minus 2) and (2, minus 2)."" height=""154"" src=""./MathHard_files/ItemResource(118)"" title=""The graph of a line through the points (0, minus 2) and (2, minus 2)."" width=""150""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2007-8M11 #11 M106701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>11</span></span></div>
</div>",C,5.0,"<div class=""questionwrapper""><div class=""question""><br>52. <div class=""paragraph"">Li's English book weighs 3 pounds, her math book weighs 5 pounds, her history book weighs 4 pounds, and her science book weighs 6 pounds.How many different combinations of one or more books can Li pack in her backpack so that the total weight of the books is 12 pounds or less?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>9</span></span></div>
<div>B. <span class=""itemtext""><span>10</span></span></div>
<div>C. <span class=""itemtext""><span>11</span></span></div>
<div>D. <span class=""itemtext""><span>12</span></span></div>
<div>E. <span class=""itemtext""><span>18</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2007-8M11 #16 M107201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>32 yards</span></span></div>
</div>",C,5.0,"<div class=""questionwrapper""><div class=""question""><br>53. <div class=""paragraph""><div class=""paragraph"">The distance around a circular pond are shown below. From the snack bar, Jake notices an island in the center of the pond.</div><div class=""paragraph""><div class=""stdaln_img""><img alt=""Circle with an island in the middle. Going clockwise arcs are labeled as follows: 100 yards; waterfall; 50 yards; snack bar; 50 yards; dock."" class=""inln_img"" height=""255"" src=""./MathHard_files/ItemResource(120)"" title=""Circle with an island in the middle. Going clockwise arcs are labeled as follows: 100 yards; waterfall; 50 yards; snack bar; 50 yards; dock."" width=""325""/></div></div><div class=""paragraph""></div></div><div class=""paragraph"">Of the following, which is the best approximation of the distance from the snack bar to the center of the island?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>16 yards</span></span></div>
<div>B. <span class=""itemtext""><span>20 yards</span></span></div>
<div>C. <span class=""itemtext""><span>32 yards</span></span></div>
<div>D. <span class=""itemtext""><span>50 yards</span></span></div>
<div>E. <span class=""itemtext""><span>64 yards</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2007-8M11 #17 M107401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>E. <span class=""itemtext""><span>4,008</span></span></div>
</div>",E,5.0,"<div class=""questionwrapper""><div class=""question""><br>54. <div class=""paragraph"">An airplane climbs at a rate of 66.8 feet per minute. It descends at twice the rate that it climbs. Assuming it descends at a constant rate, how many feet will the airplane descend in 30 minutes?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>96.8</span></span></div>
<div>B. <span class=""itemtext""><span>133.6</span></span></div>
<div>C. <span class=""itemtext""><span>1,002</span></span></div>
<div>D. <span class=""itemtext""><span>2,004</span></span></div>
<div>E. <span class=""itemtext""><span>4,008</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2007-8M11 #19 M107601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Blank square plus blank square plus one equals blank triangle."" height=""20"" src=""./MathHard_files/ItemResource(126)"" title=""Blank square plus blank square plus one equals blank triangle."" width=""131""/></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>55. <div class=""paragraph""><img align=""middle"" alt=""Table showing columns of numbers. Blank squares have values of 4, 5, 6, 7. Blank triangles have values of 9, 11, 13, 15."" height=""134"" src=""./MathHard_files/ItemResource(121)"" title=""Table showing columns of numbers. Blank squares have values of 4, 5, 6, 7. Blank triangles have values of 9, 11, 13, 15."" width=""94""><div class=""paragraph""></div></img></div><div class=""paragraph"">Which rule describes the pattern shown in the table?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Blank square plus 5 equals blank triangle."" height=""20"" src=""./MathHard_files/ItemResource(122)"" title=""Blank square plus 5 equals blank triangle."" width=""92""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Blank square plus blank square equals blank triangle."" height=""20"" src=""./MathHard_files/ItemResource(123)"" title=""Blank square plus blank square equals blank triangle."" width=""104""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Blank square plus blank square plus one equals blank triangle."" height=""20"" src=""./MathHard_files/ItemResource(124)"" title=""Blank square plus blank square plus one equals blank triangle."" width=""131""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Blank square plus blank square plus two equals blank triangle."" height=""20"" src=""./MathHard_files/ItemResource(125)"" title=""Blank square plus blank square plus two equals blank triangle."" width=""131""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-4M12 #14 M101001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>12 - 9 = <img alt=""empty box"" height=""20"" src=""./MathHard_files/ItemResource(131)"" style=""padding: 0px !important; vertical-align:middle;"" title=""empty box"" width=""20""/></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>56. <div class=""paragraph"">Amber and Charlotte each ran a mile. It took Amber 11.79 minutes. It took Charlotte 9.08 minutes. Which number sentence can Charlotte use to best estimate the difference in their times?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>11 - 9 = <img alt=""empty box"" height=""20"" src=""./MathHard_files/ItemResource(127)"" style=""padding: 0px !important; vertical-align:middle;"" title=""empty box"" width=""20""/></span></span></div>
<div>B. <span class=""itemtext""><span>11 - 10 = <img alt=""empty box"" height=""20"" src=""./MathHard_files/ItemResource(128)"" style=""padding: 0px !important; vertical-align:middle;"" title=""empty box"" width=""20""/></span></span></div>
<div>C. <span class=""itemtext""><span>12 - 9 = <img alt=""empty box"" height=""20"" src=""./MathHard_files/ItemResource(129)"" style=""padding: 0px !important; vertical-align:middle;"" title=""empty box"" width=""20""/></span></span></div>
<div>D. <span class=""itemtext""><span>12 - 10 = <img alt=""empty box"" height=""20"" src=""./MathHard_files/ItemResource(130)"" style=""padding: 0px !important; vertical-align:middle;"" title=""empty box"" width=""20""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-4M12 #15 M101101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>It is 8 more than the original amount.</span></span></div>
</div>",A,5.0,"<div class=""questionwrapper""><div class=""question""><br>57. <div class=""paragraph"">In the equation <span class=""inline_variable"">y</span> = 4<span class=""inline_variable"">x</span>, if the value of <span class=""inline_variable"">x</span> is increased by 2, what is the effect on the value of <span class=""inline_variable"">y</span> ?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>It is 8 more than the original amount.</span></span></div>
<div>B. <span class=""itemtext""><span>It is 6 more than the original amount.</span></span></div>
<div>C. <span class=""itemtext""><span>It is 2 more than the original amount.</span></span></div>
<div>D. <span class=""itemtext""><span>It is 16 times the original amount.</span></span></div>
<div>E. <span class=""itemtext""><span>It is 8 times the original amount.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8M3 #10 M067401</span></div></div>"
"<div class=""answer"">The correct answer is:<div class=""dist_rt"" style=""width:33px"">B. <span class=""itemtext""><span class=""dist_rt"" style=""width:33px"">12</span></span></div>
</div>",B,5.0,"<div class=""questionwrapper""><div class=""question""><br>58. <div class=""paragraph""><div class=""paragraph""><div class=""stdaln_img""><img alt=""1 plus 3 equals 4  1 plus 3 plus 5 equals 9  1 plus 3 plus 5 plus 7 equals 16  1 plus 3 plus 5 plus 7 plus 9 equals 25"" class=""inln_img"" height=""77"" src=""./MathHard_files/ItemResource(132)"" title=""1 plus 3 equals 4  1 plus 3 plus 5 equals 9  1 plus 3 plus 5 plus 7 equals 16  1 plus 3 plus 5 plus 7 plus 9 equals 25"" width=""156""/></div></div><div class=""paragraph""></div></div><div class=""paragraph"">According to the pattern suggested by the four examples above, how many consecutive odd integers are required to give a sum of 144 ?</div></br></div><div class=""distractors""><div class=""dist_rt"" style=""width:33px"">A. <span class=""itemtext""><span class=""dist_rt"" style=""width:33px"">  9</span></span></div>
<div class=""dist_rt"" style=""width:33px"">B. <span class=""itemtext""><span class=""dist_rt"" style=""width:33px"">12</span></span></div>
<div class=""dist_rt"" style=""width:33px"">C. <span class=""itemtext""><span class=""dist_rt"" style=""width:33px"">15</span></span></div>
<div class=""dist_rt"" style=""width:33px"">D. <span class=""itemtext""><span class=""dist_rt"" style=""width:33px"">36</span></span></div>
<div class=""dist_rt"" style=""width:33px"">E. <span class=""itemtext""><span class=""dist_rt"" style=""width:33px"">72</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8M3 #12 M047701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>E. <span class=""itemtext""><span>They are not parallel.</span></span></div>
</div>",E,5.0,"<div class=""questionwrapper""><div class=""question""><br>59. <div class=""paragraph"">A certain 4-sided figure has the following properties.<ul><li>Only one pair of opposite sides are parallel.</li><li>Only one pair of opposite sides are equal in length.</li><li>The parallel sides are not equal in length.</li></ul></div><div class=""paragraph"">Which of the following must be true about the sides that are equal in length?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>They are perpendicular to each other.</span></span></div>
<div>B. <span class=""itemtext""><span>They are each perpendicular to an adjacent side.</span></span></div>
<div>C. <span class=""itemtext""><span>They are equal in length to one of the other two sides.</span></span></div>
<div>D. <span class=""itemtext""><span>They are not equal in length to either of the other two sides.</span></span></div>
<div>E. <span class=""itemtext""><span>They are not parallel.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8M3 #14 M048001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>E. <span class=""itemtext""><span>3.2 miles</span></span></div>
</div>",E,5.0,"<div class=""questionwrapper""><div class=""question""><br>60. <div class=""paragraph""><div class=""paragraph""><div class=""stdaln_img""><img alt=""Map of distances between various locations in a state park.Distances are as follows: Visitor Center to Waterfall is 4.1 miles; Visitor Center to Monument is 2.5 miles; Visitor Center to Cave is 5.2 miles. There are two paths from the Waterfall to the Cave: one is 4.9 miles and the other is 5.1 miles. "" class=""inln_img"" height=""202"" src=""./MathHard_files/ItemResource(133)"" title=""Map of distances between various locations in a state park.Distances are as follows: Visitor Center to Waterfall is 4.1 miles; Visitor Center to Monument is 2.5 miles; Visitor Center to Cave is 5.2 miles. There are two paths from the Waterfall to the Cave: one is 4.9 miles and the other is 5.1 miles. "" width=""302""/></div></div><div class=""paragraph""></div></div><div class=""paragraph"">The map above gives the distances, in miles, between various locations in a state park. Traveling the shortest possible total distance along the paths shown on the map, from the visitor center Teresa visits the cave, waterfall, and monument, but not necessarily in that order, and then returns to the visitor center. If she does not retrace her steps along any path and the total distance that Teresa travels is 14.7 miles, what is the distance between the cave and the monument?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>2.2 miles</span></span></div>
<div>B. <span class=""itemtext""><span>2.5 miles</span></span></div>
<div>C. <span class=""itemtext""><span>2.7 miles</span></span></div>
<div>D. <span class=""itemtext""><span>3.0 miles</span></span></div>
<div>E. <span class=""itemtext""><span>3.2 miles</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8M3 #15 M093701</span></div></div>"
"<div class=""answer"">The correct answer is:<div class=""dist_rt"" style=""width:38px"">D. <span class=""itemtext""><span class=""dist_rt"" style=""width:38px"">  99</span></span></div>
</div>",D,5.0,"<div class=""questionwrapper""><div class=""question""><br>61. <div class=""paragraph"">There were 90 employees in a company last year. This year the number of employees increased by 10 percent. How many employees are in the company this year?</div></br></div><div class=""distractors""><div class=""dist_rt"" style=""width:38px"">A. <span class=""itemtext""><span class=""dist_rt"" style=""width:38px"">     9</span></span></div>
<div class=""dist_rt"" style=""width:38px"">B. <span class=""itemtext""><span class=""dist_rt"" style=""width:38px"">  81</span></span></div>
<div class=""dist_rt"" style=""width:38px"">C. <span class=""itemtext""><span class=""dist_rt"" style=""width:38px"">  91</span></span></div>
<div class=""dist_rt"" style=""width:38px"">D. <span class=""itemtext""><span class=""dist_rt"" style=""width:38px"">  99</span></span></div>
<div class=""dist_rt"" style=""width:38px"">E. <span class=""itemtext""><span class=""dist_rt"" style=""width:38px"">100</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8M3 #17 M051901</span></div></div>"
"<div class=""answer"">The correct answer is:<div class=""dist_rt"" style=""width:66px"">C. <span class=""itemtext""><span class=""dist_rt"" style=""width:66px"">120 feet</span></span></div>
</div>",C,5.0,"<div class=""questionwrapper""><div class=""question""><br>62. <div class=""paragraph"">A rectangular playground has a perimeter of 390 feet. The width of the playground is 75 feet. What is its length?</div></br></div><div class=""distractors""><div class=""dist_rt"" style=""width:77px"">A. <span class=""itemtext""><span class=""dist_rt"" style=""width:77px"">     5.2 feet</span></span></div>
<div class=""dist_rt"" style=""width:77px"">B. <span class=""itemtext""><span class=""dist_rt"" style=""width:77px"">  97.5 feet</span></span></div>
<div class=""dist_rt"" style=""width:66px"">C. <span class=""itemtext""><span class=""dist_rt"" style=""width:66px"">120 feet</span></span></div>
<div class=""dist_rt"" style=""width:66px"">D. <span class=""itemtext""><span class=""dist_rt"" style=""width:66px"">130 feet</span></span></div>
<div class=""dist_rt"" style=""width:66px"">E. <span class=""itemtext""><span class=""dist_rt"" style=""width:66px"">240 feet</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8M12 #2 M110001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>(5, 5)</span></span></div>
</div>",C,5.0,"<div class=""questionwrapper""><div class=""question""><br>63. <div class=""paragraph"">The endpoints of a line segment are the points with coordinates (2, 1) and (8, 9). What are the coordinates of the midpoint of this line segment?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>(2, 3½)</span></span></div>
<div>B. <span class=""itemtext""><span>(3, 4)</span></span></div>
<div>C. <span class=""itemtext""><span>(5, 5)</span></span></div>
<div>D. <span class=""itemtext""><span>(4½, 5½)</span></span></div>
<div>E. <span class=""itemtext""><span>(10, 10)</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8M12 #9 M110701</span></div></div>"
