answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>4,073,082</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>11. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Series of labeled columns with marks drawn within each column:   4 marks in Millions;   0 marks in Hundred thousands;   7 marks in Ten thousands;   3 marks in Thousands;   0 marks in Hundreds;   8 marks in Tens;   2 marks in Ones.  "" class=""inln_img"" height=""137px"" src=""./MathEasy_files/ItemResource(17)"" title=""Series of labeled columns with marks drawn within each column:   4 marks in Millions;   0 marks in Hundred thousands;   7 marks in Ten thousands;   3 marks in Thousands;   0 marks in Hundreds;   8 marks in Tens;   2 marks in Ones.  "" width=""400px""/></div></div>Which number does the diagram above represent?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>4,703,082</span></span></div>
<div>B. <span class=""itemtext""><span>4,073,082</span></span></div>
<div>C. <span class=""itemtext""><span>  473,820</span></span></div>
<div>D. <span class=""itemtext""><span>  407,382</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #5 M136001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span> For every 1  <img alt=""triangle"" height=""23px"" src=""./MathEasy_files/ItemResource(29)"" style=""padding: 0px !important; vertical-align:middle;"" title=""triangle"" width=""24px""> , there are 2  <img alt=""star"" height=""20px"" src=""./MathEasy_files/ItemResource(30)"" style=""padding: 0px !important; vertical-align:middle;"" title=""star"" width=""21px""> s </img></img></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>12. <div class=""paragraph""><img align=""middle"" alt=""Image showing 3 horizontal lines made up of a combination of triangles and stars.      The pattern for the bottom line is triangle, star, star, triangle, star.   The pattern for the middle line is star, triangle, star, star, star.   The pattern for the top line is triangle, star, star, triangle, star.   "" height=""157px"" src=""./MathEasy_files/ItemResource(18)"" title=""Image showing 3 horizontal lines made up of a combination of triangles and stars.      The pattern for the bottom line is triangle, star, star, triangle, star.   The pattern for the middle line is star, triangle, star, star, star.   The pattern for the top line is triangle, star, star, triangle, star.   "" width=""259px""/></div> In the diagram, what is the relationship between the number of <img alt=""triangle"" height=""23px"" src=""./MathEasy_files/ItemResource(19)"" style=""padding: 0px !important; vertical-align:middle;"" title=""triangle"" width=""24px""> s and the number of <img alt=""star"" height=""20px"" src=""./MathEasy_files/ItemResource(20)"" style=""padding: 0px !important; vertical-align:middle;"" title=""star"" width=""21px""> s </img></img></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span> For every 1  <img alt=""triangle"" height=""23px"" src=""./MathEasy_files/ItemResource(21)"" style=""padding: 0px !important; vertical-align:middle;"" title=""triangle"" width=""24px""> , there are 2  <img alt=""star"" height=""20px"" src=""./MathEasy_files/ItemResource(22)"" style=""padding: 0px !important; vertical-align:middle;"" title=""star"" width=""21px""> s </img></img></span></span></div>
<div>B. <span class=""itemtext""><span> For every 1  <img alt=""triangle"" height=""23px"" src=""./MathEasy_files/ItemResource(23)"" style=""padding: 0px !important; vertical-align:middle;"" title=""triangle"" width=""24px""> , there are 10  <img alt=""star"" height=""20px"" src=""./MathEasy_files/ItemResource(24)"" style=""padding: 0px !important; vertical-align:middle;"" title=""star"" width=""21px""> s </img></img></span></span></div>
<div>C. <span class=""itemtext""><span> For every 2  <img alt=""triangle"" height=""23px"" src=""./MathEasy_files/ItemResource(25)"" style=""padding: 0px !important; vertical-align:middle;"" title=""triangle"" width=""24px""> s, there is 1  <img alt=""star"" height=""20px"" src=""./MathEasy_files/ItemResource(26)"" style=""padding: 0px !important; vertical-align:middle;"" title=""star"" width=""21px""/></img></span></span></div>
<div>D. <span class=""itemtext""><span> For every 5  <img alt=""triangle"" height=""23px"" src=""./MathEasy_files/ItemResource(27)"" style=""padding: 0px !important; vertical-align:middle;"" title=""triangle"" width=""24px""> s, there is 1  <img alt=""star"" height=""20px"" src=""./MathEasy_files/ItemResource(28)"" style=""padding: 0px !important; vertical-align:middle;"" title=""star"" width=""21px""/></img></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #7 M136201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>28 feet</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>13. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Image of a rectangle with one side labeled 6 feet and another side labeled 8 feet."" class=""inln_img"" height=""105px"" src=""./MathEasy_files/ItemResource(31)"" title=""Image of a rectangle with one side labeled 6 feet and another side labeled 8 feet."" width=""156px""/></div></div>A teacher drew this rectangle on a playground. Sam walked around the rectangle on the lines shown. How far did Sam walk?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>14 feet</span></span></div>
<div>B. <span class=""itemtext""><span>20 feet</span></span></div>
<div>C. <span class=""itemtext""><span>28 feet</span></span></div>
<div>D. <span class=""itemtext""><span>48 feet</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #8 M136301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>2 pounds</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>14. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Image of a hanging scale. The indicator on the scale is pointing to 2."" class=""inln_img"" height=""351px"" src=""./MathEasy_files/ItemResource(32)"" title=""Image of a hanging scale. The indicator on the scale is pointing to 2."" width=""153px""/></div></div>How much do these apples weigh?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>2 cups</span></span></div>
<div>B. <span class=""itemtext""><span>2 feet</span></span></div>
<div>C. <span class=""itemtext""><span>2 pounds</span></span></div>
<div>D. <span class=""itemtext""><span>2 quarts</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M7 #1 M154501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Red and green</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>15. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Image shows nine shirts hanging from a rod. The order of the shirts is as follows: green, red, blue, blue, purple, red, green, red, green. "" class=""inln_img"" height=""201px"" src=""./MathEasy_files/ItemResource(33)"" title=""Image shows nine shirts hanging from a rod. The order of the shirts is as follows: green, red, blue, blue, purple, red, green, red, green. "" width=""540px""/></div></div>Mark has nine shirts in his closet as shown.<div class=""paragraph"">If Mark picks a shirt out of the closet without looking, which two colors have the greatest chance of being picked?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Blue and purple</span></span></div>
<div>B. <span class=""itemtext""><span>Green and blue</span></span></div>
<div>C. <span class=""itemtext""><span>Red and blue</span></span></div>
<div>D. <span class=""itemtext""><span>Red and green</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M7 #2 M170001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>   5.2 centimeters</span></span></div>
</div>",D,5.0,"<div class=""questionwrapper""><div class=""question""><br>16. <div class=""paragraph"" style=""text-align:center;""><div class=""stdaln_img""><img alt=""Image of a straight horizontal line beginning at A and ending at B."" class=""inln_img"" height=""25px"" src=""./MathEasy_files/ItemResource(34)"" title=""Image of a straight horizontal line beginning at A and ending at B."" width=""207px""/></div></div> What is the length of segment <span class=""inline-variable"">AB</span> shown above? </br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>   0.52 millimeter</span></span></div>
<div>B. <span class=""itemtext""><span>   0.52 centimeter</span></span></div>
<div>C. <span class=""itemtext""><span>   5.2 millimeters</span></span></div>
<div>D. <span class=""itemtext""><span>   5.2 centimeters</span></span></div>
<div>E. <span class=""itemtext""><span>520 millimeters</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M3 #1 M149801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>E. <span class=""itemtext""><span>Main Street and Park Avenue</span></span></div>
</div>",E,5.0,"<div class=""questionwrapper""><div class=""question""><br>17. <div class=""paragraph"" style=""text-align:center""><div class=""stdaln_img""><img alt=""Image of 4 lines. The lines labeled Lake Street and Hillside Way run vertically.   The line labeled Main Street crosses diagonally from top left to bottom right and crosses Lake St. and Hillside Way. The line labeled Park Avenue crosses diagonally from bottom left to top right; it intersects with Main St. and Lake St. and crosses Hillside Way."" class=""inln_img"" height=""281px"" src=""./MathEasy_files/ItemResource(35)"" title=""Image of 4 lines. The lines labeled Lake Street and Hillside Way run vertically.   The line labeled Main Street crosses diagonally from top left to bottom right and crosses Lake St. and Hillside Way. The line labeled Park Avenue crosses diagonally from bottom left to top right; it intersects with Main St. and Lake St. and crosses Hillside Way."" width=""261px""/></div></div> In the map above, which two streets appear to be <span class=""stressed_text_3"">perpendicular</span> to each other? </br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Hillside Way and Lake Street</span></span></div>
<div>B. <span class=""itemtext""><span>Lake Street and Park Avenue</span></span></div>
<div>C. <span class=""itemtext""><span>Park Avenue and Hillside Way</span></span></div>
<div>D. <span class=""itemtext""><span>Main Street and Hillside Way</span></span></div>
<div>E. <span class=""itemtext""><span>Main Street and Park Avenue</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M3 #3 M150001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span> <img alt=""Image of a narrow acute angle"" height=""202px"" src=""./MathEasy_files/ItemResource(41)"" style=""padding-top:0px; padding-bottom:3px; vertical-align:middle;"" title=""Image of a narrow acute angle"" width=""104px""/></span></span></div>
</div>",B,5.0,"<div class=""questionwrapper""><div class=""question""><br>18. Which pair of rays forms an angle of 30 degrees?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""Image of a right acute angle"" height=""202px"" src=""./MathEasy_files/ItemResource(36)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of a right acute angle"" width=""180px""/></span></span></div>
<div>B. <span class=""itemtext""><span> <img alt=""Image of a narrow acute angle"" height=""202px"" src=""./MathEasy_files/ItemResource(37)"" style=""padding-top:0px; padding-bottom:3px; vertical-align:middle;"" title=""Image of a narrow acute angle"" width=""104px""/></span></span></div>
<div>C. <span class=""itemtext""><span> <img alt=""Image of a left obtuse angle"" height=""258px"" src=""./MathEasy_files/ItemResource(38)"" style=""padding-top:0px; padding-bottom:3px; vertical-align:middle;"" title=""Image of a left obtuse angle"" width=""235px""/></span></span></div>
<div>D. <span class=""itemtext""><span> <img alt=""Image of a left acute angle"" height=""192px"" src=""./MathEasy_files/ItemResource(39)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of a left acute angle"" width=""183px""/></span></span></div>
<div>E. <span class=""itemtext""><span> <img alt=""Image of a right obtuse angle"" height=""104px"" src=""./MathEasy_files/ItemResource(40)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of a right obtuse angle"" width=""376px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M3 #4 M150101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span> 7</span></span></div>
</div>",B,5.0,"<div class=""questionwrapper""><div class=""question""><br>19. Rick has earned a total of 581 points on all of his science tests. His overall test average (mean) is 83. How many tests has Rick taken?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span> 6</span></span></div>
<div>B. <span class=""itemtext""><span> 7</span></span></div>
<div>C. <span class=""itemtext""><span> 8</span></span></div>
<div>D. <span class=""itemtext""><span> 9</span></span></div>
<div>E. <span class=""itemtext""><span>10</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M3 #7 M150401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>6 inches</span></span></div>
</div>",A,5.0,"<div class=""questionwrapper""><div class=""question""><br>20. The length of a photograph is 5 inches and its width is 3 inches. The photograph is enlarged proportionally. The length of the enlarged photograph is 10 inches. What is the width of the enlarged photograph?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>6 inches</span></span></div>
<div>B. <span class=""itemtext""><span>7 inches</span></span></div>
<div>C. <span class=""itemtext""><span>9 inches</span></span></div>
<div>D. <span class=""itemtext""><span>15 inches</span></span></div>
<div>E. <span class=""itemtext""><span><img alt=""16 and two-thirds"" height=""28px"" src=""./MathEasy_files/ItemResource(42)"" style=""padding: 0px !important; vertical-align:middle;"" title=""16 and two-thirds"" width=""25px""> inches </img></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M6 #1 M140401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span><img alt=""2c plus 4"" height=""20px"" src=""./MathEasy_files/ItemResource(48)"" style=""padding: 0px !important; vertical-align:middle;"" title=""2c plus 4"" width=""40px""/></span></span></div>
</div>",D,5.0,"<div class=""questionwrapper""><div class=""question""><br>21. A car can seat <span class=""stressed_text_2"">c</span> adults. A van can seat 4 more than twice as many adults as the car can. In terms of <span class=""stressed_text_2"">c</span>, how many adults can the van seat?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""c plus 8"" height=""20px"" src=""./MathEasy_files/ItemResource(43)"" style=""padding: 0px !important; vertical-align:middle;"" title=""c plus 8"" width=""32px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""c plus 12"" height=""20px"" src=""./MathEasy_files/ItemResource(44)"" style=""padding: 0px !important; vertical-align:middle;"" title=""c plus 12"" width=""40px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""2c minus 4"" height=""20px"" src=""./MathEasy_files/ItemResource(45)"" style=""padding: 0px !important; vertical-align:middle;"" title=""2c minus 4"" width=""40px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""2c plus 4"" height=""20px"" src=""./MathEasy_files/ItemResource(46)"" style=""padding: 0px !important; vertical-align:middle;"" title=""2c plus 4"" width=""40px""/></span></span></div>
<div>E. <span class=""itemtext""><span><img alt=""4c plus 2"" height=""20px"" src=""./MathEasy_files/ItemResource(47)"" style=""padding: 0px !important; vertical-align:middle;"" title=""4c plus 2"" width=""40px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M6 #2 M140501</span></div></div>"
