answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Wide, long leaves</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>11. <div class=""paragraph"">Look at the banana plant shown below.</div><div class=""paragraph""><img align=""middle"" alt=""Image is of a banana plant. It has a stem that supports leaves. Flopping down from the leaves is the fruit ending in a flower."" height=""603"" src=""./SciEasy_files/ItemResource(15)"" title=""Image is of a banana plant. It has a stem that supports leaves. Flopping down from the leaves is the fruit ending in a flower."" width=""383""/></div><div class=""paragraph"">What part of this plant helps it get the most light?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Green fruit</span></span></div>
<div>B. <span class=""itemtext""><span>A peeling, thick stem</span></span></div>
<div>C. <span class=""itemtext""><span>Wide, long leaves</span></span></div>
<div>D. <span class=""itemtext""><span>Brightly colored flowers</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #3 K085201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Matt</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the diagram below.<div><div class=""paragraph""></div><div class=""paragraph"">The diagram below shows the top of a toy car as it travels on a curved track. Four students, Matt, Samantha, Josh, and Ashley stand in the positions shown and watch the toy car move.<div class=""paragraph""></div><img align=""middle"" alt=""Diagram of a toy car traveling around a curved track with an open center. Samantha stands at the North part of the track; Josh at the East; and Matt at the West. Ashley stands in the open center. The car is positioned in front of Samantha going East. "" height=""433"" src=""./SciEasy_files/ItemResource(16)"" title=""Diagram of a toy car traveling around a curved track with an open center. Samantha stands at the North part of the track; Josh at the East; and Matt at the West. Ashley stands in the open center. The car is positioned in front of Samantha going East. "" width=""577""/></div></div></div><br>12. <div class=""paragraph"">When the toy car is in the position shown in the diagram, which student sees the car as moving away from him or her?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Ashley</span></span></div>
<div>B. <span class=""itemtext""><span>Josh</span></span></div>
<div>C. <span class=""itemtext""><span>Matt</span></span></div>
<div>D. <span class=""itemtext""><span>Samantha</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #6 K089701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Image of a 3/4 right Moon."" height=""88"" src=""./SciEasy_files/ItemResource(22)"" title=""Image of a 3/4 right Moon."" width=""76""/></span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>13. <div class=""paragraph"">Jennifer drew what the Moon looked like just after sunset every third or fourth night. Her drawings for the nights she observed the Moon are shown below.</div><div class=""paragraph""><img align=""middle"" alt=""Images of the moon at night. On Night 1, there is no Moon; on Night 4, there's a right crescent Moon; on Night 7, there's a right half Moon; on Night 11, there's no Moon; on Night 14, there's a full Moon."" height=""142"" src=""./SciEasy_files/ItemResource(17)"" title=""Images of the moon at night. On Night 1, there is no Moon; on Night 4, there's a right crescent Moon; on Night 7, there's a right half Moon; on Night 11, there's no Moon; on Night 14, there's a full Moon."" width=""401""/></div><div class=""paragraph"">On Night 11 the clouds were so thick that Jennifer could not see the Moon.</div><div class=""paragraph"">Based on the drawings for the other nights, what would Jennifer have seen on Night 11 if the sky were clear?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Image of a left half-Moon"" height=""88"" src=""./SciEasy_files/ItemResource(18)"" title=""Image of a left half-Moon"" width=""76""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Image of a left crescent Moon"" height=""88"" src=""./SciEasy_files/ItemResource(19)"" title=""Image of a left crescent Moon"" width=""76""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Image of a 3/4 left Moon"" height=""88"" src=""./SciEasy_files/ItemResource(20)"" title=""Image of a 3/4 left Moon"" width=""76""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Image of a 3/4 right Moon."" height=""88"" src=""./SciEasy_files/ItemResource(21)"" title=""Image of a 3/4 right Moon."" width=""76""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #15 K107201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Butter changing into liquid in a warm pan</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>14. <div class=""paragraph"">Which is an example of melting?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Flowing water making a rock smooth</span></span></div>
<div>B. <span class=""itemtext""><span>A carrot becoming soft when cooked</span></span></div>
<div>C. <span class=""itemtext""><span>Sugar mixed into tea making the tea sweet</span></span></div>
<div>D. <span class=""itemtext""><span>Butter changing into liquid in a warm pan</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #16 K107001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The force of friction between the ice and the rock</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>15. <div class=""paragraph"">Kelly slides a flat rock across the smooth ice of a frozen pond. The rock slows down after several seconds. What causes the rock to slow down?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The thickness of the ice</span></span></div>
<div>B. <span class=""itemtext""><span>The temperature of the air above the ice</span></span></div>
<div>C. <span class=""itemtext""><span>The force of friction between the ice and the rock</span></span></div>
<div>D. <span class=""itemtext""><span>The gravitational force between the ice and the rock</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #1 K116401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>The atmosphere is less dense at higher elevations so there is less oxygen available.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>16. <div class=""paragraph"">Why do mountain climbers at high elevations use oxygen tanks to help them breathe?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>At high elevations the ozone layer draws oxygen out of the atmosphere.</span></span></div>
<div>B. <span class=""itemtext""><span>The atmosphere is less dense at higher elevations so there is less oxygen available.</span></span></div>
<div>C. <span class=""itemtext""><span>Oxygen is heavier than the other gases in the atmosphere and sinks to lower elevations.</span></span></div>
<div>D. <span class=""itemtext""><span>Radiation from the Sun splits oxygen molecules into atoms making the oxygen unbreathable.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #3 K123501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>They make nutrients available to plants.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the diagram below, showing a food web. The arrows show the direction of energy flow. Each arrow points from the organism that is consumed to the organism that consumes it. Use the information in the food web to answer the questions that follow.<div class=""prose1""><div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Food web showing the direction of energy flow from the organism that is consumed to the organism that consumes it. All the organisms in the web are eventually consumed by decomposers. Oak acorns are consumed by squirrels. Pine is consumed by squirrels and the pine borer. The squirrel is consumed by the hawk and the fox. The pine borer is consumed by the salamander and the kinglet. The salamander is consumed by the hawk and the fox. The kinglet is consumed by the fox. "" height=""644"" src=""./SciEasy_files/ItemResource(23)"" title=""Food web showing the direction of energy flow from the organism that is consumed to the organism that consumes it. All the organisms in the web are eventually consumed by decomposers. Oak acorns are consumed by squirrels. Pine is consumed by squirrels and the pine borer. The squirrel is consumed by the hawk and the fox. The pine borer is consumed by the salamander and the kinglet. The salamander is consumed by the hawk and the fox. The kinglet is consumed by the fox. "" width=""521""/></div></div></div></div><br>17. <div class=""paragraph"">Which statement best explains why decomposers are an important part of this food web?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>They use sunlight to make their own food.</span></span></div>
<div>B. <span class=""itemtext""><span>They give off oxygen for animals to breathe.</span></span></div>
<div>C. <span class=""itemtext""><span>They provide camouflage for small animals.</span></span></div>
<div>D. <span class=""itemtext""><span>They make nutrients available to plants.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #5 K115801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>By impacts of many meteoroids</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>18. <div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Close up photo image of craters on the moon."" height=""250"" src=""./SciEasy_files/ItemResource(24)"" title=""Close up photo image of craters on the moon."" width=""230""/></div></div><div class=""paragraph"">The surface of the Moon is covered with craters, as shown above. How were most of these craters formed?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>By eruptions of active volcanoes</span></span></div>
<div>B. <span class=""itemtext""><span>By impacts of many meteoroids</span></span></div>
<div>C. <span class=""itemtext""><span>By shifting rock on the Moon's surface (moonquakes)</span></span></div>
<div>D. <span class=""itemtext""><span>By tidal forces caused by Earth and the Sun</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #8 K156601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img alt=""Kinetic to electrical to light"" height=""17"" src=""./SciEasy_files/ItemResource(30)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Kinetic to electrical to light"" width=""222""/></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>19. <div class=""paragraph"">The flashlight shown below has no batteries. It is operated by squeezing and letting go of the handle. Inside the body of the flashlight are gears, which are shown below.</div><div class=""paragraph""><img align=""middle"" alt=""Image of flashlight that has no batteries. The image shows a handle that can be squeezed which then turns gears inside the body of the flashlight."" height=""170"" src=""./SciEasy_files/ItemResource(25)"" title=""Image of flashlight that has no batteries. The image shows a handle that can be squeezed which then turns gears inside the body of the flashlight."" width=""300""/></div><div class=""paragraph"">Which sequence best identifies the energy transfers that take place within the flashlight to produce light?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""Kinetic to electrical to light"" height=""17"" src=""./SciEasy_files/ItemResource(26)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Kinetic to electrical to light"" width=""222""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""Kinetic to chemical to light"" height=""17"" src=""./SciEasy_files/ItemResource(27)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Kinetic to chemical to light"" width=""221""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""Chemical to kinetic to light"" height=""17"" src=""./SciEasy_files/ItemResource(28)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Chemical to kinetic to light"" width=""224""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""Chemical to electrical to light"" height=""17"" src=""./SciEasy_files/ItemResource(29)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Chemical to electrical to light"" width=""240""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #17 K115701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Species 5 is most closely related to Species 6.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the following information.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph"">Scientists are studying the evolutionary history of a group of plants in the United States, and they develop an evolutionary tree, as shown below.<div class=""paragraph""><img align=""middle"" alt=""Evolutionary diagram showing 8 separate species grouped in pairs. The result of the pairing of Species 3 and 4 is combined with the result from Species 5 and 6. This result is then combined with result of the pairing of Species 1 and 2. The result of this combination is then combined with the result of the pairing of Species 7 and 8."" height=""192"" src=""./SciEasy_files/ItemResource(31)"" title=""Evolutionary diagram showing 8 separate species grouped in pairs. The result of the pairing of Species 3 and 4 is combined with the result from Species 5 and 6. This result is then combined with result of the pairing of Species 1 and 2. The result of this combination is then combined with the result of the pairing of Species 7 and 8."" width=""346""/></div></div></div></div><br>20. <div class=""paragraph"">Which statement can be inferred from the evolutionary tree?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Species 1 is most closely related to Species 8.</span></span></div>
<div>B. <span class=""itemtext""><span>Species 2 is most closely related to Species 3.</span></span></div>
<div>C. <span class=""itemtext""><span>Species 3 is most closely related to Species 7.</span></span></div>
<div>D. <span class=""itemtext""><span>Species 5 is most closely related to Species 6.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #6 K131102</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The release of carbon dioxide during volcanic eruptions</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the carbon cycle diagram below, which shows some of the ways that carbon moves through different parts of Earth's environment.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""><div class=""stdaln_img""><img alt=""Illustration of the carbon cycle. Carbon Dioxide (CO2) is in the atmosphere. Carbon from ined fossil fuels (oil, natural gas, coal) flows into human activities. The carbon from human activities flows into the atmosphere. Carbon flows back and forth between land plants and animals and the atmosphere. Carbon also flows back and forth between the ocean and atmosphere. Carbon flows from volcanoes into the atmosphere. Carbon from marine plants and animals flows back and forth with the ocean. Carbon from sedimentary rocks flows into the earth. "" class=""inln_img"" height=""499"" src=""./SciEasy_files/ItemResource(32)"" title=""Illustration of the carbon cycle. Carbon Dioxide (CO2) is in the atmosphere. Carbon from ined fossil fuels (oil, natural gas, coal) flows into human activities. The carbon from human activities flows into the atmosphere. Carbon flows back and forth between land plants and animals and the atmosphere. Carbon also flows back and forth between the ocean and atmosphere. Carbon flows from volcanoes into the atmosphere. Carbon from marine plants and animals flows back and forth with the ocean. Carbon from sedimentary rocks flows into the earth. "" width=""619""/></div></div></div></div><br>21. <div class=""paragraph"">In the diagram, which portion of the carbon cycle is driven directly by Earth's internal heat energy?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The movement of carbon between the ocean and the atmosphere</span></span></div>
<div>B. <span class=""itemtext""><span>The emission of carbon dioxide from oil-burning power plants</span></span></div>
<div>C. <span class=""itemtext""><span>The release of carbon dioxide during volcanic eruptions</span></span></div>
<div>D. <span class=""itemtext""><span>The exhalation of carbon dioxide by animals</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #9 K139702</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The rock was slowly compressed due to tectonic plate movement.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>22. <div class=""paragraph"">The picture below shows a rock formation with folded layers.</div><div class=""paragraph""><img align=""middle"" alt=""Photograph of a rock formation showing ripple-like folds of rock layers."" height=""332"" src=""./SciEasy_files/ItemResource(33)"" title=""Photograph of a rock formation showing ripple-like folds of rock layers."" width=""432""/></div><div class=""paragraph"">Which statement best explains how the rock layers folded?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The rock melted and flowed downhill.</span></span></div>
<div>B. <span class=""itemtext""><span>The rock was deformed by a meteorite impact.</span></span></div>
<div>C. <span class=""itemtext""><span>The rock was suddenly pulled apart during an earthquake.</span></span></div>
<div>D. <span class=""itemtext""><span>The rock was slowly compressed due to tectonic plate movement.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #17 K131601</span></div></div>"
