answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>The grass helped to hold the soil in place.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the following information.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph"">Rafael lives near a road at the bottom of a hill. His parents are concerned that soil will wash off the hill and rocks will fall onto the road.</div><div class=""paragraph"">Rafael conducts an investigation to find out if grass growing on a hillside will help stop soil erosion.</div><div class=""paragraph"">He collects two samples of the same size and type of soil. One sample of soil has grass growing on it and the other does not. He places each sample of soil in a small tray.</div></div></div><br>11. <div class=""paragraph"">After pouring the water onto both pieces of soil, Rafael makes an observation. The water collected in the tray under the soil <span class=""stressed_text_3"">with</span> grass looks clearer than the water collected in the tray under the soil <span class=""stressed_text_3"">without</span> grass.</div><div class=""paragraph"">What conclusion can Rafael make from his observation?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The grass helped to hold the soil in place.</span></span></div>
<div>B. <span class=""itemtext""><span>The grass helped to move the water through the soil.</span></span></div>
<div>C. <span class=""itemtext""><span>The soil without grass was sticky, so more water stayed in the soil.</span></span></div>
<div>D. <span class=""itemtext""><span>The soil without grass was loose, so more water stayed in the soil.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #12 K106604</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Crust</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>12. <div class=""paragraph"">Which layer of Earth is divided into plates?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Mantle</span></span></div>
<div>B. <span class=""itemtext""><span>Crust</span></span></div>
<div>C. <span class=""itemtext""><span>Inner core</span></span></div>
<div>D. <span class=""itemtext""><span>Outer core</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #2 K111701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Water vapor condensing</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the following diagram, which represents a portion of Earth's water cycle.<div class=""prose1""><div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Image of clouds over the ocean with the sun shining in the sky. The number 1 points from the ocean upward. Number 2 points from the sky to the clouds. Number 3 points down from the cluds to the ocean."" height=""213"" src=""./SciMed_files/ItemResource(20)"" title=""Image of clouds over the ocean with the sun shining in the sky. The number 1 points from the ocean upward. Number 2 points from the sky to the clouds. Number 3 points down from the cluds to the ocean."" width=""392""/></div></div></div></div><br>13. <div class=""paragraph"">Which process is represented by 2?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Liquid water evaporating</span></span></div>
<div>B. <span class=""itemtext""><span>Cool air warming as it rises</span></span></div>
<div>C. <span class=""itemtext""><span>Clouds blocking the Sun's energy</span></span></div>
<div>D. <span class=""itemtext""><span>Water vapor condensing</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #13 K116201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Pebbles, coarse sand, fine sand</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>14. <div class=""paragraph"">Three funnels were filled with equal volumes of pebbles, fine sand, and coarse sand, as shown in the diagram below. The same amount of water was poured into each funnel.</div><div class=""paragraph""><img align=""middle"" alt=""Images of three funnels filled with material of different sizes. Each funnel is positioned over a cup. The funnels are labeled “pebbles,” “fine sand,” and “coarse sand,” respectively."" height=""134"" src=""./SciMed_files/ItemResource(21)"" title=""Images of three funnels filled with material of different sizes. Each funnel is positioned over a cup. The funnels are labeled “pebbles,” “fine sand,” and “coarse sand,” respectively."" width=""325""/></div><div class=""paragraph"">Which correctly lists the order in which the water passed through the funnels, from fastest to slowest?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Pebbles, fine sand, coarse sand</span></span></div>
<div>B. <span class=""itemtext""><span>Pebbles, coarse sand, fine sand</span></span></div>
<div>C. <span class=""itemtext""><span>Fine sand, coarse sand, pebbles</span></span></div>
<div>D. <span class=""itemtext""><span>Coarse sand, pebbles, fine sand</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #15 K117301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Chlorine (Cl) with 17 protons, 18 neutrons, and 18 electrons</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>15. <div class=""paragraph"">Which particle is a negatively charged ion?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Hydrogen (H) with 1 proton, 0 neutrons, and 1 electron</span></span></div>
<div>B. <span class=""itemtext""><span>Sodium (Na) with 11 protons, 12 neutrons, and 10 electrons</span></span></div>
<div>C. <span class=""itemtext""><span>Chlorine (Cl) with 17 protons, 18 neutrons, and 18 electrons</span></span></div>
<div>D. <span class=""itemtext""><span>Magnesium (Mg) with 12 protons, 12 neutrons, and 12 electrons</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #1 K139401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Most rocks that first formed on Earth's surface have since undergone major geologic changes.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>16. <div class=""paragraph"">Why does radioactive dating of meteorites give a more accurate age for Earth than radioactive dating of rocks at Earth's surface?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Most rocks that first formed on Earth's surface have since undergone major geologic changes.</span></span></div>
<div>B. <span class=""itemtext""><span>Most rocks found on Earth's surface are older than most meteorites.</span></span></div>
<div>C. <span class=""itemtext""><span>Most meteorites contain minerals that are the same age as those found on Earth's surface.</span></span></div>
<div>D. <span class=""itemtext""><span>Most meteorites are made of the same type of iron that is found in Earth's core.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #3 K126701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>DNA sequences</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the following information.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph"">Scientists are studying the evolutionary history of a group of plants in the United States, and they develop an evolutionary tree, as shown below.<div class=""paragraph""><img align=""middle"" alt=""Evolutionary diagram showing 8 separate species grouped in pairs. The result of the pairing of Species 3 and 4 is combined with the result from Species 5 and 6. This result is then combined with result of the pairing of Species 1 and 2. The result of this combination is then combined with the result of the pairing of Species 7 and 8."" height=""192"" src=""./SciMed_files/ItemResource(22)"" title=""Evolutionary diagram showing 8 separate species grouped in pairs. The result of the pairing of Species 3 and 4 is combined with the result from Species 5 and 6. This result is then combined with result of the pairing of Species 1 and 2. The result of this combination is then combined with the result of the pairing of Species 7 and 8."" width=""346""/></div></div></div></div><br>17. <div class=""paragraph"">What information about the organisms best helps the scientists to determine the evolutionary relationships among them?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>DNA sequences</span></span></div>
<div>B. <span class=""itemtext""><span>Anatomical features</span></span></div>
<div>C. <span class=""itemtext""><span>Habitat types</span></span></div>
<div>D. <span class=""itemtext""><span>Reproductive strategies</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #5 K131101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The formation of sugars at Earth's surface</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the carbon cycle diagram below, which shows some of the ways that carbon moves through different parts of Earth's environment.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""><div class=""stdaln_img""><img alt=""Illustration of the carbon cycle. Carbon Dioxide (CO2) is in the atmosphere. Carbon from ined fossil fuels (oil, natural gas, coal) flows into human activities. The carbon from human activities flows into the atmosphere. Carbon flows back and forth between land plants and animals and the atmosphere. Carbon also flows back and forth between the ocean and atmosphere. Carbon flows from volcanoes into the atmosphere. Carbon from marine plants and animals flows back and forth with the ocean. Carbon from sedimentary rocks flows into the earth. "" class=""inln_img"" height=""499"" src=""./SciMed_files/ItemResource(23)"" title=""Illustration of the carbon cycle. Carbon Dioxide (CO2) is in the atmosphere. Carbon from ined fossil fuels (oil, natural gas, coal) flows into human activities. The carbon from human activities flows into the atmosphere. Carbon flows back and forth between land plants and animals and the atmosphere. Carbon also flows back and forth between the ocean and atmosphere. Carbon flows from volcanoes into the atmosphere. Carbon from marine plants and animals flows back and forth with the ocean. Carbon from sedimentary rocks flows into the earth. "" width=""619""/></div></div></div></div><br>18. <div class=""paragraph"">Which portion of the carbon cycle is driven directly by energy from the Sun?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The formation of coal beneath rock layers</span></span></div>
<div>B. <span class=""itemtext""><span>The release of carbon dioxide during volcanic eruptions</span></span></div>
<div>C. <span class=""itemtext""><span>The emission of carbon dioxide from oil-burning power plants</span></span></div>
<div>D. <span class=""itemtext""><span>The formation of sugars at Earth's surface</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #8 K139701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img alt=""Elements to molecules to cells to tissues to organs"" height=""17"" src=""./SciMed_files/ItemResource(28)"" title=""Elements to molecules to cells to tissues to organs"" width=""401""/></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>19. <div class=""paragraph"">What is the correct order for the levels of organization in living systems from the simplest to the most complex? (Note that not all levels of organization are included.)</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""Elements to molecules to cells to tissues to organs"" height=""17"" src=""./SciMed_files/ItemResource(24)"" title=""Elements to molecules to cells to tissues to organs"" width=""401""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""Molecules to tissues to cells to organs to organisms"" height=""17"" src=""./SciMed_files/ItemResource(25)"" title=""Molecules to tissues to cells to organs to organisms"" width=""406""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""Molecules to elements to tissues to organs to organisms"" height=""17"" src=""./SciMed_files/ItemResource(26)"" title=""Molecules to elements to tissues to organs to organisms"" width=""440""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""Cells to organs to tissues to organisms to molecules"" height=""17"" src=""./SciMed_files/ItemResource(27)"" title=""Cells to organs to tissues to organisms to molecules"" width=""411""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #11 K138101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Sled is being pulled in a southeast direction"" height=""69"" src=""./SciMed_files/ItemResource(34)"" title=""Sled is being pulled in a southeast direction"" width=""174""/></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>20. <div class=""paragraph"">Two dogs pull on a flat-bottom sled with forces of equal magnitude in the directions indicated by the arrows below. The dot represents the sled.</div><div class=""paragraph""><img align=""middle"" alt=""Image of a central point labeled Sled. Dog 1 pulls in a northeast direction; Dog 2 pulls south"" height=""181"" src=""./SciMed_files/ItemResource(29)"" title=""Image of a central point labeled Sled. Dog 1 pulls in a northeast direction; Dog 2 pulls south"" width=""104""/></div><div class=""paragraph"">Which arrow best represents the direction of motion of the sled?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Sled is being pulled in a northeast direction."" height=""69"" src=""./SciMed_files/ItemResource(30)"" title=""Sled is being pulled in a northeast direction."" width=""169""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Sled is being pulled in a mostly east direction"" height=""62"" src=""./SciMed_files/ItemResource(31)"" title=""Sled is being pulled in a mostly east direction"" width=""175""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Sled is being pulled in a southeast direction"" height=""69"" src=""./SciMed_files/ItemResource(32)"" title=""Sled is being pulled in a southeast direction"" width=""174""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Sled is being pulled in almost a southerly direction"" height=""114"" src=""./SciMed_files/ItemResource(33)"" title=""Sled is being pulled in almost a southerly direction"" width=""147""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #16 K128201</span></div></div>"
